freq,mag,phase,magperfund
0,0.0007446,90,0.00024001
60,310.24,0.25232,100
120,0.075277,176.53,0.024264
180,20.376,45.838,6.5677
240,0.044384,207.77,0.014306
300,12.242,-70.887,3.9458
360,0.030617,164.32,0.0098689
420,0.023661,172.2,0.0076266
480,0.019975,175.06,0.0064384
540,0.017424,176.56,0.0056162
600,0.0155,177.5,0.0049961
660,0.013982,178.17,0.0045069
720,0.012747,178.67,0.0041089
780,0.011716,179.07,0.0037765
840,0.010847,179.42,0.0034963
900,0.010099,179.71,0.0032553
960,0.009455,179.98,0.0030476
